"","gene","TAD"
"AK024141","AK024141","TAD_1025"
"AK024242","AK024242","TAD_3274"
"AK024243","AK024243","TAD_2987"
"AK024248","AK024248","TAD_2544"
"AK024535;STAT3;AK092965","AK024535;STAT3;AK092965","TAD_1423"
"AK024736","AK024736","TAD_2857"
"AK024936","AK024936","TAD_2790"
"AK024998","AK024998","TAD_2897"
"AK025061","AK025061","TAD_1253"
"AK025117","AK025117","TAD_1034"
"AK025127","AK025127","TAD_1941"
"AK025288","AK025288","TAD_3307"
"AK025321","AK025321","TAD_3027"
"AK025726","AK025726","TAD_80"
"AK025793","AK025793","TAD_2302"
"AK026101","AK026101","TAD_2786"
"AK026244","AK026244","TAD_3470"
"AK026379","AK026379","TAD_2518"
"AK026392;MXD4;MIR4800","AK026392;MXD4;MIR4800","TAD_2434"
"AK026736;ITGB6","AK026736;ITGB6","TAD_1905"
"AK026758","AK026758","TAD_2971"
"AK026965","AK026965","TAD_2730"
"AK027145","AK027145","TAD_2131"
"AK027252;ATP8A1","AK027252;ATP8A1","TAD_2478"
"AK027257","AK027257","TAD_2501"
"AK027541","AK027541","TAD_1906"
"AK054623","AK054623","TAD_3155"
"AK054635;SRSF10","AK054635;SRSF10","TAD_53"
"AK054708","AK054708","TAD_6"
"AK054726","AK054726","TAD_324"
"AK054749","AK054749","TAD_1178"
"AK054753","AK054753","TAD_2744"
"AK054836","AK054836","TAD_1559"
"AK054845","AK054845","TAD_873"
"AK054880","AK054880","TAD_3012"
"AK054921","AK054921","TAD_3657"
"AK054990","AK054990","TAD_1875"
"AK055017","AK055017","TAD_356"
"AK055055","AK055055","TAD_2483"
"AK055145","AK055145","TAD_952"
"AK055250","AK055250","TAD_644"
"AK055254","AK055254","TAD_1429"
"AK055260","AK055260","TAD_1648"
"AK055267","AK055267","TAD_3120"
"AK055272","AK055272","TAD_1336"
"AK055323","AK055323","TAD_2388"
"AK055332","AK055332","TAD_3275"
"AK055364","AK055364","TAD_1311"
"AK055368;ETV1","AK055368;ETV1","TAD_3006"
"AK055370","AK055370","TAD_1127"
"AK055386","AK055386","TAD_2069"
"AK055408","AK055408","TAD_870"
"AK055458","AK055458","TAD_3179"
"AK055459","AK055459","TAD_934"
"AK055550","AK055550","TAD_2019"
