"","gene","TAD"
"PDLIM5","PDLIM5","TAD_2521"
"PDLIM7","PDLIM7","TAD_2777"
"PDP1","PDP1","TAD_3287"
"PDPN","PDPN","TAD_31"
"PDRG1","PDRG1","TAD_2033"
"PDS5A","PDS5A","TAD_2473"
"PDS5B","PDS5B","TAD_889"
"PDSS1","PDSS1","TAD_371"
"PDSS2","PDSS2","TAD_2915"
"PDX1","PDX1","TAD_883"
"PDXP","PDXP","TAD_2192"
"PDYN","PDYN","TAD_1995"
"PDZD11","PDZD11","TAD_3562"
"PDZD2","PDZD2","TAD_2628"
"PDZD3","PDZD3","TAD_670"
"PDZD4","PDZD4","TAD_3676"
"PDZD8","PDZD8","TAD_486"
"PDZK1P1","PDZK1P1","TAD_200"
"PDZRN3","PDZRN3","TAD_2305"
"PDZRN4","PDZRN4","TAD_749"
"PEA15","PEA15","TAD_229"
"PEAK1","PEAK1","TAD_1162"
"PEAR1","PEAR1","TAD_223"
"PEBP4","PEBP4","TAD_3224"
"PEF1;AX747565","PEF1;AX747565","TAD_72"
"PEG10","PEG10","TAD_3110"
"PEG3","PEG3","TAD_1700"
"PEG3-AS1","PEG3-AS1","TAD_1700"
"PELI1;AK026714","PELI1;AK026714","TAD_1776"
"PELI2","PELI2","TAD_1003"
"PELI3","PELI3","TAD_605"
"PELO","PELO","TAD_2654"
"PELP1","PELP1","TAD_1352"
"PEMT","PEMT","TAD_1379"
"PENK","PENK","TAD_3261"
"PEPD","PEPD","TAD_1641"
"PER2","PER2","TAD_1984"
"PER3","PER3","TAD_17"
"PER4","PER4","TAD_3004"
"PERP","PERP","TAD_2950"
"PES1","PES1","TAD_2181"
"PET112","PET112","TAD_2566"
"PET117","PET117","TAD_2013"
"PEX11A","PEX11A","TAD_1181"
"PEX11B","PEX11B","TAD_199"
"PEX11G","PEX11G","TAD_1599"
"PEX13","PEX13","TAD_1771"
"PEX16","PEX16","TAD_566"
"PEX19","PEX19","TAD_229"
"PEX2","PEX2","TAD_3274"
"PEX5L","PEX5L","TAD_2401"
"PEX6","PEX6","TAD_2855"
"PEX7","PEX7","TAD_2949"
"PF4","PF4","TAD_2498"
"PF4V1","PF4V1","TAD_2498"
"PFDN1;AX748200","PFDN1;AX748200","TAD_2737"
"PFDN2","PFDN2","TAD_231"
"PFDN4","PFDN4","TAD_2079"
"PFDN5","PFDN5","TAD_771"
"PFKFB1","PFKFB1","TAD_3547"
"PFKFB2","PFKFB2","TAD_286"
"PFKFB3","PFKFB3","TAD_350"
"PFKFB4","PFKFB4","TAD_2272"
"PFKL","PFKL","TAD_2140"
"PFKM","PFKM","TAD_757"
"PFN1","PFN1","TAD_1352"
"PFN1P2","PFN1P2","TAD_194"
"PFN2","PFN2","TAD_2374"
"PFN3","PFN3","TAD_2777"
"PFN4","PFN4","TAD_1727"
"PGAM4","PGAM4","TAD_3574"
"PGAP1","PGAP1","TAD_1939"
"PGAP3","PGAP3","TAD_1418"
"PGBD1","PGBD1","TAD_2825"
"PGBD4","PGBD4","TAD_1099"
"PGBD5","PGBD5","TAD_320"
"PGCP","PGCP","TAD_3291"
"PGCP1","PGCP1","TAD_172"
"PGD","PGD","TAD_22"
"PGF","PGF","TAD_1030"
"PGGT1B","PGGT1B","TAD_2711"
"PGK2","PGK2","TAD_2863"
"PGLS","PGLS","TAD_1624"
"PGLYRP2","PGLYRP2","TAD_1618"
"PGLYRP3","PGLYRP3","TAD_215"
"PGLYRP4","PGLYRP4","TAD_215"
"PGM2","PGM2","TAD_2470"
"PGM2L1","PGM2L1","TAD_622"
"PGM3","PGM3","TAD_2894"
"PGM5","PGM5","TAD_3379"
"PGM5P2","PGM5P2","TAD_3378"
"PGPEP1","PGPEP1","TAD_1625"
"PGPEP1L","PGPEP1L","TAD_1189"
"PGR","PGR","TAD_650"
"PGRMC1","PGRMC1","TAD_3634"
"PGRMC2","PGRMC2","TAD_2551"
"PGS1","PGS1","TAD_1487"
"PHACTR1","PHACTR1","TAD_2807"
"PHACTR2","PHACTR2","TAD_2954"
"PHACTR4","PHACTR4","TAD_63"
"PHB","PHB","TAD_1442"
"PHC1","PHC1","TAD_714"
"PHC2;MIR3605","PHC2;MIR3605","TAD_76"
"PHC3","PHC3","TAD_2392"
"PHF1","PHF1","TAD_2837"
"PHF11","PHF11","TAD_910"
"PHF12","PHF12","TAD_1395"
"PHF14","PHF14","TAD_3004"
"PHF15","PHF15","TAD_2728"
"PHF16","PHF16","TAD_3532"
"PHF17","PHF17","TAD_2551"
"PHF19","PHF19","TAD_3451"
"PHF20L1","PHF20L1","TAD_3321"
"PHF21A","PHF21A","TAD_566"
"PHF21B","PHF21B","TAD_2209"
"PHF2P1","PHF2P1","TAD_867"
"PHF3","PHF3","TAD_2885"
"PHF5A","PHF5A","TAD_2202"
"PHF7","PHF7","TAD_2281"
"PHF8","PHF8","TAD_3547"
"PHGDH","PHGDH","TAD_185"
"PHGR1","PHGR1","TAD_1106"
"PHIP","PHIP","TAD_2892"
"PHKA1","PHKA1","TAD_3568"
"PHKA2","PHKA2","TAD_3511"
"PHKB","PHKB","TAD_1281"
"PHLDB2","PHLDB2","TAD_2328"
"PHLDB3","PHLDB3","TAD_1665"
"PHLPP1","PHLPP1","TAD_1560"
"PHLPP2;KIAA0931","PHLPP2;KIAA0931","TAD_1310"
"PHOSPHO1","PHOSPHO1","TAD_1442"
"PHOSPHO2","PHOSPHO2","TAD_1913"
"PHOSPHO2-KLHL23","PHOSPHO2-KLHL23","TAD_1913"
"PHOX2A","PHOX2A","TAD_617"
"PHOX2B","PHOX2B","TAD_2477"
"PHPT1","PHPT1","TAD_3485"
"PHRF1","PHRF1","TAD_513"
"PHTF1","PHTF1","TAD_177"
"PHTF2","PHTF2","TAD_3096"
"PHYH","PHYH","TAD_355"
"PHYHD1","PHYHD1","TAD_3467"
"PHYHIP","PHYHIP","TAD_3222"
"PHYHIPL","PHYHIPL","TAD_416"
"PI15","PI15","TAD_3274"
"PI16","PI16","TAD_2844"
"PI3","PI3","TAD_2058"
"PI4K2B","PI4K2B","TAD_2463"
"PI4KAP1","PI4KAP1","TAD_2157"
"PI4KAP2","PI4KAP2","TAD_2161"
"PI4KB","PI4KB","TAD_213"
"PIAS1","PIAS1","TAD_1147"
"PIAS2","PIAS2","TAD_1538"
"PIAS3","PIAS3","TAD_199"
"PIAS4","PIAS4","TAD_1589"
"PICALM","PICALM","TAD_633"
"PID1","PID1","TAD_1968"
"PIEZO1;MIR4722","PIEZO1;MIR4722","TAD_1335"
"PIEZO2","PIEZO2","TAD_1511"
"PIF1","PIF1","TAD_1140"
"PIGA","PIGA","TAD_3505"
"PIGB","PIGB","TAD_1127"
"PIGC","PIGC","TAD_243"
"PIGF","PIGF","TAD_1757"
"PIGH","PIGH","TAD_1017"
"PIGK","PIGK","TAD_135"
"PIGL","PIGL","TAD_1375"
"PIGN","PIGN","TAD_1559"
"PIGP","PIGP","TAD_2130"
"PIGR","PIGR","TAD_286"
"PIGT","PIGT","TAD_2059"
"PIGU","PIGU","TAD_2039"
"PIGV","PIGV","TAD_60"
"PIGX","PIGX","TAD_2425"
"PIGZ","PIGZ","TAD_2425"
"PIH1D2","PIH1D2","TAD_657"
"PIK3AP1","PIK3AP1","TAD_461"
"PIK3C2A","PIK3C2A","TAD_540"
"PIK3C2G","PIK3C2G","TAD_727"
"PIK3CA","PIK3CA","TAD_2399"
"PIK3CD","PIK3CD","TAD_22"
"PIK3CG","PIK3CG","TAD_3134"
"PIK3IP1","PIK3IP1","TAD_2181"
"PIK3R1","PIK3R1","TAD_2670"
"PIK3R2","PIK3R2","TAD_1625"
"PIK3R3","PIK3R3","TAD_97"
"PIK3R4","PIK3R4","TAD_2353"
"PIK3R5","PIK3R5","TAD_1362"
"PIK3R6","PIK3R6","TAD_1362"
"PIKFYVE","PIKFYVE","TAD_1953"
"PIM1","PIM1","TAD_2844"
"PIM2","PIM2","TAD_3535"
"PIM3","PIM3","TAD_2216"
"PIN1P1","PIN1P1","TAD_129"
"PINK1","PINK1","TAD_45"
"PINX1","PINX1","TAD_3206"
"PION","PION","TAD_3096"
"PIP","PIP","TAD_3167"
"PIP4K2A","PIP4K2A","TAD_367"
"PIP4K2B","PIP4K2B","TAD_1415"
"PIP4K2C","PIP4K2C","TAD_781"
"PIP5K1B","PIP5K1B","TAD_3380"
"PIP5K1C","PIP5K1C","TAD_1587"
"PIP5K1P1","PIP5K1P1","TAD_2802"
"PIPOX","PIPOX","TAD_1396"
"PIPSL","PIPSL","TAD_457"
"PIR","PIR","TAD_3505"
"PIR-FIGF","PIR-FIGF","TAD_3505"
"PIRT","PIRT","TAD_1367"
"PISD","PISD","TAD_2182"
"PISRT1","PISRT1","TAD_2364"
"PITHD1","PITHD1","TAD_52"
"PITPNA","PITPNA","TAD_1344"
"PITPNM1","PITPNM1","TAD_606"
"PITX1","PITX1","TAD_2730"
"PITX2","PITX2","TAD_2538"
"PITX3","PITX3","TAD_473"
"PIWIL1","PIWIL1","TAD_860"
"PIWIL2","PIWIL2","TAD_3223"
"PJA1","PJA1","TAD_3559"
"PJA2","PJA2","TAD_2706"
"PJCG1","PJCG1","TAD_527"
"PKD1","PKD1","TAD_1202"
"PKD1L1","PKD1L1","TAD_3043"
"PKD1L2","PKD1L2","TAD_1321"
"PKD1L3","PKD1L3","TAD_1310"
"PKD1P1","PKD1P1","TAD_1231"
"PKD2","PKD2","TAD_2516"
"PKD2L1","PKD2L1","TAD_468"
"PKD2L2","PKD2L2","TAD_2734"
"PKDCC","PKDCC","TAD_1749"
"PKDREJ","PKDREJ","TAD_2212"
"PKHD1","PKHD1","TAD_2864"
"PKHD1L1","PKHD1L1","TAD_3306"
"PKI55","PKI55","TAD_1958"
"PKIA","PKIA","TAD_3274"
"PKIB","PKIB","TAD_2932"
"PKIG","PKIG","TAD_2057"
"PKN1","PKN1","TAD_1616"
"PKN2","PKN2","TAD_144"
"PKN3","PKN3","TAD_3467"
"PKNOX1","PKNOX1","TAD_2137"
"PKNOX2","PKNOX2","TAD_680"
"PKP1","PKP1","TAD_271"
"PKP2","PKP2","TAD_742"
"PKP3","PKP3","TAD_512"
"PKP4","PKP4","TAD_1903"
"PLA1A","PLA1A","TAD_2337"
"PLA2G12A","PLA2G12A","TAD_2536"
"PLA2G12B","PLA2G12B","TAD_430"
"PLA2G16","PLA2G16","TAD_596"
"PLA2G2A","PLA2G2A","TAD_44"
"PLA2G2C","PLA2G2C","TAD_44"
"PLA2G2D","PLA2G2D","TAD_44"
"PLA2G2E","PLA2G2E","TAD_44"
"PLA2G2F","PLA2G2F","TAD_44"
"PLA2G3","PLA2G3","TAD_2181"
"PLA2G4A","PLA2G4A","TAD_262"
"PLA2G4C","PLA2G4C","TAD_1679"
"PLA2G4D","PLA2G4D","TAD_1110"
"PLA2G4E","PLA2G4E","TAD_1110"
"PLA2G4F","PLA2G4F","TAD_1110"
"PLA2G5","PLA2G5","TAD_44"
"PLA2G6","PLA2G6","TAD_2194"
"PLA2G7","PLA2G7","TAD_2860"
"PLA2R1","PLA2R1","TAD_1904"
"PLAA","PLAA","TAD_3353"
"PLAC1","PLAC1","TAD_3650"
"PLAC1L","PLAC1L","TAD_586"
"PLAC4","PLAC4","TAD_2135"
"PLAC8","PLAC8","TAD_2511"
"PLAC8L1","PLAC8L1","TAD_2742"
"PLAC9","PLAC9","TAD_441"
"PLAG1","PLAG1","TAD_3261"
"PLAGL1","PLAGL1","TAD_2954"
"PLAGL2","PLAGL2","TAD_2034"
"PLAT","PLAT","TAD_3248"
"PLAU","PLAU","TAD_432"
"PLAUR","PLAUR","TAD_1665"
"PLBD1","PLBD1","TAD_725"
"PLBD2","PLBD2","TAD_837"
"PLCB1","PLCB1","TAD_2003"
"PLCB2","PLCB2","TAD_1106"
"PLCB3","PLCB3","TAD_598"
"PLCB4","PLCB4","TAD_2004"
"PLCD1","PLCD1","TAD_2257"
"PLCD4","PLCD4","TAD_1962"
"PLCE1","PLCE1","TAD_457"
"PLCG1","PLCG1","TAD_2052"
"PLCH1","PLCH1","TAD_2380"
"PLCH2","PLCH2","TAD_8"
"PLCL2;MIR3714","PLCL2;MIR3714","TAD_2241"
"PLCXD1","PLCXD1","TAD_3489"
"PLCXD2","PLCXD2","TAD_2328"
"PLCXD3","PLCXD3","TAD_2641"
"PLCZ1","PLCZ1","TAD_727"
"PLD1","PLD1","TAD_2393"
"PLD2","PLD2","TAD_1352"
"PLD3","PLD3","TAD_1656"
"PLD4","PLD4","TAD_1064"
"PLD5","PLD5","TAD_331"
"PLD6","PLD6","TAD_1378"
"PLDN","PLDN","TAD_1117"
"PLEC","PLEC","TAD_3329"
"PLEK","PLEK","TAD_1780"
"PLEKHA1;BC041654","PLEKHA1;BC041654","TAD_492"
"PLEKHA2","PLEKHA2","TAD_3244"
"PLEKHA4","PLEKHA4","TAD_1681"
"PLEKHA5","PLEKHA5","TAD_727"
"PLEKHA8","PLEKHA8","TAD_3022"
"PLEKHA8P1","PLEKHA8P1","TAD_752"
"PLEKHB1","PLEKHB1","TAD_620"
"PLEKHF1","PLEKHF1","TAD_1636"
"PLEKHF2","PLEKHF2","TAD_3289"
"PLEKHG1","PLEKHG1","TAD_2966"
"PLEKHG3","PLEKHG3","TAD_1014"
"PLEKHG4","PLEKHG4","TAD_1296"
"PLEKHG4B","PLEKHG4B","TAD_2601"
"PLEKHH1","PLEKHH1","TAD_1017"
"PLEKHH2","PLEKHH2","TAD_1752"
"PLEKHH3","PLEKHH3","TAD_1424"
"PLEKHJ1;MIR1227","PLEKHJ1;MIR1227","TAD_1582"
"PLEKHM2","PLEKHM2","TAD_32"
"PLEKHM3","PLEKHM3","TAD_1952"
"PLEKHN1","PLEKHN1","TAD_2"
"PLEKHO1","PLEKHO1","TAD_208"
"PLEKHO2","PLEKHO2","TAD_1140"
"PLGLA","PLGLA","TAD_1842"
"PLGLB1","PLGLB1","TAD_1806"
"PLGLB2","PLGLB2","TAD_1801"
"PLIN1","PLIN1","TAD_1181"
"PLIN2","PLIN2","TAD_3347"
"PLIN3","PLIN3","TAD_1593"
"PLK1S1","PLK1S1","TAD_2017"
"PLK4","PLK4","TAD_2551"
"PLK5","PLK5","TAD_1581"
"PLLP","PLLP","TAD_1290"
"PLN","PLN","TAD_2927"
"PLOD2","PLOD2","TAD_2369"
"PLOD3","PLOD3","TAD_3122"
"PLP1","PLP1","TAD_3622"
"PLP2","PLP2","TAD_3535"
"PLRG1","PLRG1","TAD_2569"
"PLS1","PLS1","TAD_2367"
"PLS3","PLS3","TAD_3629"
"PLSCR1","PLSCR1","TAD_2369"
"PLSCR2","PLSCR2","TAD_2369"
"PLSCR3","PLSCR3","TAD_1358"
"PLSCR4","PLSCR4","TAD_2369"
"PLSCR5","PLSCR5","TAD_2369"
"PLTP","PLTP","TAD_2060"
"PLVAP","PLVAP","TAD_1624"
"PLXDC1","PLXDC1","TAD_1416"
"PLXDC2","PLXDC2","TAD_365"
"PLXNA1","PLXNA1","TAD_2346"
"PLXNA2","PLXNA2","TAD_289"
"PLXNA3","PLXNA3","TAD_3678"
"PLXNA4","PLXNA4","TAD_3157"
"PLXNB1","PLXNB1","TAD_2272"
"PLXNB2","PLXNB2","TAD_2217"
"PLXNB3","PLXNB3","TAD_3676"
"PLXND1","PLXND1","TAD_2351"
"PM20D1","PM20D1","TAD_281"
"PM20D2","PM20D2","TAD_2901"
"PMAIP1","PMAIP1","TAD_1557"
"PMCH","PMCH","TAD_821"
"PMCHL1","PMCHL1","TAD_2624"
"PMCHL2","PMCHL2","TAD_2674"
"PMEL","PMEL","TAD_776"
"PMEPA1","PMEPA1","TAD_2083"
"PMF1","PMF1","TAD_220"
"PMF1-BGLAP","PMF1-BGLAP","TAD_220"
"PMM2","PMM2","TAD_1213"
"PMP2","PMP2","TAD_3277"
"PMPCA","PMPCA","TAD_3484"
"PMS1","PMS1","TAD_1936"
"PMS2L14","PMS2L14","TAD_3087"
"PMS2L2","PMS2L2","TAD_3079"
"PMS2P5","PMS2P5","TAD_3085"
"PNCK","PNCK","TAD_3675"
"PNLDC1","PNLDC1","TAD_2976"
"PNLIP","PNLIP","TAD_485"
"PNLIPRP1","PNLIPRP1","TAD_485"
"PNLIPRP2","PNLIPRP2","TAD_485"
"PNLIPRP3","PNLIPRP3","TAD_485"
"PNMA1","PNMA1","TAD_1028"
"PNMA2","PNMA2","TAD_3230"
"PNMA6A;PNMA6C","PNMA6A;PNMA6C","TAD_3673"
"PNMAL1","PNMAL1","TAD_1672"
"PNMAL2","PNMAL2","TAD_1672"
"PNMT","PNMT","TAD_1418"
"PNN","PNN","TAD_990"
"PNO1","PNO1","TAD_1780"
"PNOC","PNOC","TAD_3233"
"PNP","PNP","TAD_966"
"PNPLA1","PNPLA1","TAD_2842"
"PNPLA4","PNPLA4","TAD_3494"
"PNPLA6","PNPLA6","TAD_1599"
"PNPLA7","PNPLA7","TAD_3486"
"PNPLA8","PNPLA8","TAD_3136"
"PNPO","PNPO","TAD_1440"
"PNRC1","PNRC1","TAD_2901"
"PNRC2","PNRC2","TAD_53"
"POC1A","POC1A","TAD_2281"
"POC1B","POC1B","TAD_807"
"PODN","PODN","TAD_108"
"PODNL1","PODNL1","TAD_1615"
"PODXL","PODXL","TAD_3156"
"POF1B","POF1B","TAD_3579"
"POFUT1","POFUT1","TAD_2034"
"POFUT2","POFUT2","TAD_2142"
"POGLUT1","POGLUT1","TAD_2337"
"POGZ","POGZ","TAD_213"
"POLA1","POLA1","TAD_3519"
"POLA2","POLA2","TAD_601"
"POLB","POLB","TAD_3248"
"POLD1","POLD1","TAD_1688"
"POLD2","POLD2","TAD_3039"
"POLD3","POLD3","TAD_622"
"POLD4","POLD4","TAD_606"
"POLE","POLE","TAD_862"
"POLE3","POLE3","TAD_3444"
"POLE4","POLE4","TAD_1793"
"POLI","POLI","TAD_1549"
"POLK","POLK","TAD_2681"
"POLL","POLL","TAD_471"
"POLN","POLN","TAD_2434"
"POLQ","POLQ","TAD_2339"
"POLR1A","POLR1A","TAD_1799"
"POLR1D","POLR1D","TAD_883"
"POLR2A","POLR2A","TAD_1358"
"POLR2C","POLR2C","TAD_1290"
"POLR2E","POLR2E","TAD_1579"
"POLR2G","POLR2G","TAD_593"
"POLR2M;MYZAP","POLR2M;MYZAP","TAD_1127"
"POLR3A","POLR3A","TAD_436"
"POLR3D","POLR3D","TAD_3223"
"POLR3F","POLR3F","TAD_2013"
"POLR3G","POLR3G","TAD_2692"
"POLR3GL","POLR3GL","TAD_199"
"POLR3H","POLR3H","TAD_2202"
"POLRMT","POLRMT","TAD_1578"
"POM121C","POM121C","TAD_3087"
"POM121L12","POM121L12","TAD_3047"
"POM121L1P","POM121L1P","TAD_2164"
"POM121L2","POM121L2","TAD_2824"
"POM121L7","POM121L7","TAD_2160"
"POM121L8P","POM121L8P","TAD_2160"
"POMC","POMC","TAD_1729"
"POMGNT1","POMGNT1","TAD_97"
"POMP","POMP","TAD_884"
"POMT1","POMT1","TAD_3474"
"POMT2","POMT2","TAD_1036"
"PON1","PON1","TAD_3110"
"PON2","PON2","TAD_3110"
"PON3","PON3","TAD_3110"
"POP4","POP4","TAD_1636"
"POP5","POP5","TAD_849"
"POP7","POP7","TAD_3120"
"POPDC2","POPDC2","TAD_2337"
"POPDC3","POPDC3","TAD_2912"
"POR","POR","TAD_3089"
"POSTN","POSTN","TAD_894"
"POTEA","POTEA","TAD_3249"
"POTEB","POTEB","TAD_1073"
"POTEC","POTEC","TAD_1518"
"POTED","POTED","TAD_2109"
"POTEE","POTEE","TAD_1877"
"POTEF","POTEF","TAD_1872"
"POTEG","POTEG","TAD_963"
"POTEH","POTEH","TAD_2146"
"POTEM","POTEM","TAD_964"
"POU1F1","POU1F1","TAD_2310"
"POU2AF1","POU2AF1","TAD_655"
"POU2F1","POU2F1","TAD_240"
"POU2F3","POU2F3","TAD_672"
"POU3F2","POU3F2","TAD_2908"
"POU3F3","POU3F3","TAD_1838"
"POU3F4","POU3F4","TAD_3578"
"POU4F1","POU4F1","TAD_928"
"POU4F2","POU4F2","TAD_2560"
"POU4F3","POU4F3","TAD_2743"
"POU5F1","POU5F1","TAD_2829"
"POU5F1B","POU5F1B","TAD_3317"
"POU5F1P1","POU5F1P1","TAD_3317"
"POU5F1P4","POU5F1P4","TAD_219"
"POU5F2","POU5F2","TAD_2695"
"POU6F1","POU6F1","TAD_766"
"POU6F2","POU6F2","TAD_3034"
"PP12613","PP12613","TAD_2547"
"PP2D1","PP2D1","TAD_2242"
"PPA1","PPA1","TAD_426"
"PPA2","PPA2","TAD_2531"
"PPAP2A","PPAP2A","TAD_2658"
"PPAP2B","PPAP2B","TAD_114"
"PPAPDC1A","PPAPDC1A","TAD_490"
"PPAPDC1B","PPAPDC1B","TAD_3243"
"PPAPDC2","PPAPDC2","TAD_3338"
"PPAPDC3","PPAPDC3","TAD_3474"
"PPARA","PPARA","TAD_2212"
"PPARD","PPARD","TAD_2840"
"PPARG","PPARG","TAD_2232"
"PPARGC1A","PPARGC1A","TAD_2461"
"PPARGC1B","PPARGC1B","TAD_2747"
"PPBP","PPBP","TAD_2498"
"PPBPL2","PPBPL2","TAD_2498"
"PPCS","PPCS","TAD_91"
"PPDPF","PPDPF","TAD_2094"
"PPEF1","PPEF1","TAD_3511"
"PPEF2","PPEF2","TAD_2502"
"PPFIA2","PPFIA2","TAD_802"
"PPFIA3","PPFIA3","TAD_1682"
"PPFIBP1;AK000807","PPFIBP1;AK000807","TAD_734"
"PPFIBP2","PPFIBP2","TAD_526"
"PPHLN1","PPHLN1","TAD_750"
"PPIA","PPIA","TAD_3040"
"PPIAL4A","PPIAL4A","TAD_192"
"PPIAL4B","PPIAL4B","TAD_207"
"PPIAL4E","PPIAL4E","TAD_204"
"PPIAL4F","PPIAL4F","TAD_204"
"PPIAL4G","PPIAL4G","TAD_191"
"PPIC","PPIC","TAD_2718"
"PPIEL","PPIEL","TAD_85"
"PPIF","PPIF","TAD_438"
"PPIG","PPIG","TAD_1913"
"PPIH","PPIH","TAD_91"
"PPIL1","PPIL1","TAD_2844"
"PPIL6","PPIL6","TAD_2917"
"PPIP5K2","PPIP5K2","TAD_2703"
"PPL","PPL","TAD_1209"
"PPM1A","PPM1A","TAD_1008"
"PPM1B","PPM1B","TAD_1753"
"PPM1D","PPM1D","TAD_1458"
"PPM1E","PPM1E","TAD_1454"
"PPM1F","PPM1F","TAD_2162"
"PPM1H","PPM1H","TAD_784"
"PPM1K","PPM1K","TAD_2516"
"PPM1L","PPM1L","TAD_2388"
"PPM1M","PPM1M","TAD_2281"
"PPM1N","PPM1N","TAD_1669"
"PPME1","PPME1","TAD_622"
"PPP1CA","PPP1CA","TAD_606"
"PPP1CB","PPP1CB","TAD_1735"
"PPP1CC","PPP1CC","TAD_832"
"PPP1R10","PPP1R10","TAD_2827"
"PPP1R11","PPP1R11","TAD_2826"
"PPP1R12A","PPP1R12A","TAD_802"
"PPP1R13B","PPP1R13B","TAD_1062"
"PPP1R14A","PPP1R14A","TAD_1651"
"PPP1R14B","PPP1R14B","TAD_598"
"PPP1R14C","PPP1R14C","TAD_2965"
"PPP1R14D","PPP1R14D","TAD_1107"
"PPP1R15A","PPP1R15A","TAD_1681"
"PPP1R16B","PPP1R16B","TAD_2050"
"PPP1R17","PPP1R17","TAD_3025"
"PPP1R18","PPP1R18","TAD_2827"
"PPP1R1A","PPP1R1A","TAD_775"
"PPP1R1B","PPP1R1B","TAD_1418"
"PPP1R1C","PPP1R1C","TAD_1928"
"PPP1R27","PPP1R27","TAD_1499"
"PPP1R2P3","PPP1R2P3","TAD_2756"
"PPP1R2P9","PPP1R2P9","TAD_3530"
"PPP1R32","PPP1R32","TAD_589"
"PPP1R36","PPP1R36","TAD_1014"
"PPP1R37","PPP1R37","TAD_1668"
"PPP1R3A","PPP1R3A","TAD_3140"
"PPP1R3B","PPP1R3B","TAD_3204"
"PPP1R3C","PPP1R3C","TAD_453"
"PPP1R3D","PPP1R3D","TAD_2087"
"PPP1R3E","PPP1R3E","TAD_972"
"PPP1R3G","PPP1R3G","TAD_2798"
"PPP1R42","PPP1R42","TAD_3269"
"PPP1R7","PPP1R7","TAD_1986"
"PPP1R8","PPP1R8","TAD_61"
"PPP1R9A","PPP1R9A","TAD_3110"
"PPP2CA","PPP2CA","TAD_2728"
"PPP2CB","PPP2CB","TAD_3237"
"PPP2R1A","PPP2R1A","TAD_1690"
"PPP2R1B","PPP2R1B","TAD_656"
"PPP2R2A;CR936829","PPP2R2A;CR936829","TAD_3229"
"PPP2R2B","PPP2R2B","TAD_2744"
"PPP2R2C","PPP2R2C","TAD_2440"
"PPP2R3A","PPP2R3A","TAD_2359"
"PPP2R3B","PPP2R3B","TAD_3489"
"PPP2R3B-AS1","PPP2R3B-AS1","TAD_3489"
"PPP2R3C","PPP2R3C","TAD_985"
"PPP2R5A","PPP2R5A","TAD_294"
"PPP2R5B","PPP2R5B","TAD_600"
"PPP2R5C","PPP2R5C","TAD_1058"
"PPP2R5D","PPP2R5D","TAD_2855"
"PPP3CA","PPP3CA","TAD_2527"
"PPP3CB","PPP3CB","TAD_431"
"PPP3CC","PPP3CC","TAD_3223"
"PPP3R1","PPP3R1","TAD_1780"
"PPP4R1","PPP4R1","TAD_1509"
"PPP4R2","PPP4R2","TAD_2304"
"PPP4R4","PPP4R4","TAD_1049"
"PPP5C","PPP5C","TAD_1672"
"PPP6C","PPP6C","TAD_3460"
"PPP6R1","PPP6R1","TAD_1697"
"PPP6R2","PPP6R2","TAD_2217"
"PPPDE1;AX747535","PPPDE1;AX747535","TAD_335"
"PPT2-EGFL8","PPT2-EGFL8","TAD_2833"
"PPTC7","PPTC7","TAD_832"
"PPY","PPY","TAD_1428"
"PPYR1","PPYR1","TAD_397"
"PQBP1","PQBP1","TAD_3535"
"PQLC1","PQLC1","TAD_1574"
"PRAC","PRAC","TAD_1442"
"PRAF2","PRAF2","TAD_3535"
"PRAM1","PRAM1","TAD_1601"
"PRAME","PRAME","TAD_2164"
"PRAMEF10","PRAMEF10","TAD_30"
"PRAMEF13","PRAMEF13","TAD_30"
"PRAMEF14","PRAMEF14","TAD_30"
"PRAMEF16","PRAMEF16","TAD_30"
"PRAMEF17","PRAMEF17","TAD_30"
"PRAMEF18","PRAMEF18","TAD_30"
"PRAMEF20","PRAMEF20","TAD_30"
"PRAMEF22","PRAMEF22","TAD_29"
"PRAMEF5","PRAMEF5","TAD_29"
"PRAMEF6","PRAMEF6","TAD_30"
"PRAMEF8","PRAMEF8","TAD_29"
"PRAMEF9","PRAMEF9","TAD_30"
"PRAP1","PRAP1","TAD_508"
"PRB1","PRB1","TAD_719"
"PRB2","PRB2","TAD_719"
"PRB3","PRB3","TAD_719"
"PRB4","PRB4","TAD_719"
"PRCC","PRCC","TAD_223"
"PRCD","PRCD","TAD_1484"
"PRCP","PRCP","TAD_630"
"PRDM1","PRDM1","TAD_2913"
"PRDM10","PRDM10","TAD_689"
"PRDM11","PRDM11","TAD_564"
"PRDM12","PRDM12","TAD_3472"
"PRDM13","PRDM13","TAD_2910"
"PRDM14","PRDM14","TAD_3270"
"PRDM15","PRDM15","TAD_2136"
"PRDM16","PRDM16","TAD_10"
"PRDM2;AK124197","PRDM2;AK124197","TAD_31"
"PRDM4","PRDM4","TAD_828"
"PRDM5","PRDM5","TAD_2547"
"PRDM6","PRDM6","TAD_2718"
"PRDM8","PRDM8","TAD_2507"
"PRDM9","PRDM9","TAD_2625"
"PRDX1","PRDX1","TAD_96"
"PRDX2","PRDX2","TAD_1611"
"PRDX6","PRDX6","TAD_245"
"PREB","PREB","TAD_1732"
"PRELID2","PRELID2","TAD_2742"
"PRELP","PRELP","TAD_276"
"PREP","PREP","TAD_2912"
