"","x"
"AK123181;TMEM120B",0.407151841492787
"AK123416",0.00459205095600424
"AK123450",0.00117081309392936
"AK123582",0.000708304698226247
"AK123584",0.00128994993291261
"AK123617",0.0142236072282159
"AK123675",0.0547509289040748
"AK123826",0.00108267140834896
"AK123878",0.000654036152073532
"AK123947",0.00121036106411461
"AK123998",0.0824334036274577
"AK124179",0.000112789326051294
"AK124399",0.00147908581895438
"AK124465;GFAP",0.0194478831672933
"AK124484",0.00148738759230603
"AK124928",0.00102313544258809
"AK124930",0.0447136693666008
"AK124973",0.000748895921733359
"AK125001",0.00382185464168423
"AK125157",0.000756763154473371
"AK125212",0.0119168161371792
"AK125301",0.0121385144367329
"AK125516",0.0025501046957493
"AK125558",0.33950755667821
"AK125676",0.00153702879415749
"AK125759",0.00360637897093264
"AK125821",0.0036894622627095
"AK125858",0.000222069260915304
"AK125960",0.000101418093707986
"AK126209;C8orf42",0.1459419241704
"AK126225;CLPTM1L",2.69648203057534
"AK126278",0.00694343443547283
"AK126286",0.0068850348434375
"AK126380",0.00996256881174764
"AK126539",0.000451095069368498
"AK126693",0.00561966793709965
"AK127087",0.178554706507198
"AK127124",0.000898602305899664
"AK127179;DICER1-AS1",0.0572932819695915
"AK127190",0.00672356897190179
"AK127191",0.000421791503735639
"AK127380",0.00324759852500951
"AK127400",0.000169563204676065
"AK127555",0.105927137738256
"AK127697",0.00189585247656541
"AK127846",0.000241785150054161
"AK127889",0.159039261035945
"AK127963",0.000249464076324831
"AK128153",0.0119079176305326
"AK128346",0.0554301297056333
"AK128361;ZNF615",0.00173055156982703
"AK128400",0.0236186733239607
"AK128559",0.00357076737630006
"AK128569",0.00373960812368405
"AK128673",0.000497485457704722
"AK128697",0.00543458918722593
"AK128734",0.150156216933656
"AK130076",0.129657195341932
"AK130294;LOC92249",0.339998951808377
"AK130329",0.0313561546513033
"AK130481",0.0206816547054526
"AK130911",0.000132888378745168
"AK131020",0.00509734440005827
"AK131521",0.05975590668837
"AK172755",0.000517345145870195
"AK2",1.04683533630353
"AK225487",0.000797564064760242
"AK289390",0.000199708653034434
"AK293147",8.10805116462035
"AK294743",0.00106411440149817
"AK296065",0.000222330734442679
"AK296966",0.115601858616163
"AK297919",0.0930530806015306
"AK3",0.0455205555606195
"AK300121",0.000282979507076865
"AK304759",0.000460128338075799
"AK307192",0.00121787726914893
"AK307233",0.0205282259317111
"AK307246",0.000441493803088595
"AK308944",0.00242786454882367
"AK308965",0.00109032223042375
"AK309286",0.0104991327585419
"AK309441;WWTR1-AS1",0.0134007645381118
"AK310493",0.00373709292333347
"AK310634",0.0027145726908245
"AK311167",0.0059646051590981
"AK311213",0.00204705671835886
"AK311356",0.00544049577447877
"AK311380",0.000613560697657781
"AK311398",0.00128891640370275
"AK311400",0.00228128267843605
"AK311445",0.00202205399812862
"AK311497",0.885363070712562
"AK311578",0.000362410375461135
"AK4",0.0483864572421131
"AK5",0.180194842922962
"AK7",0.0282346604807087
"AK8",0.00609435239619826
"AKAP10",0.102797926735196
"AKAP3",0.00287537859688445
"AKAP5",0.0084743852551536
"AKAP8",0.302857666028201
"AKAP8L",1.30641259342179
"AKAP9",0.835490457378266
"AKIP1",0.413275941493803
"AKIRIN1",0.521481540878531
"AKIRIN2",0.20608436771925
"AKNAD1",0.0101237332814356
"AKR1B1",10.4513525653419
"AKR1B10",52.08885087649
"AKR1B15",0.0929920698839951
"AKR1C1",8.78325212431854
"AKR1C2",36.6384249665725
"AKR1C3",26.8057548456057
"AKR1C4",0.00936856935913466
"AKR1CL1",0.000967968795952979
"AKT1",3.38507164093086
"AKT3",0.295081422576982
"AL049935",0.157275393991037
"AL080192",0.000800690899519538
"AL109706",0.00208438544775905
"AL110181",0.0577836982509441
"AL133111",0.0239581626542675
"AL137535",0.330104055617234
"AL137752",0.000458298906979933
"AL355711",0.00189622628323437
"AL357213",0.00149525819799662
"AL360260",0.636341924143674
"AL390170",0.0025991671509012
"AL831889",0.219767278159357
"AL831948",0.00117339057412918
"AL832007",0.0250208648690175
"AL832163",0.00211425923083229
"AL832184",0.00468335259590164
"AL832212;UBE2H",0.950904375672502
"AL832252",0.00764753652401415
"AL832262",0.000611507725362041
"AL832891;CYR61",0.412334694114291
"AL832909",0.00953623581844276
"ALAD",0.179165269155476
"ALAS1",1.18351626266905
"ALDH18A1",0.328969757957477
