clone	day	color	metacell	x_proj	y_proj
WZM0072049	1D12	d_33	#B79F00	46	771.276671265626	545.208228006003
WZM0072050	1D12	d_33	#B79F00	46	802.661634486032	550.884651025494
WZM0072051	1D12	d_33	#B79F00	45	840.88362866895	575.001874663471
WZM0072053	1D12	d_33	#B79F00	46	797.985942413008	517.657436362028
WZM0072054	1D12	d_33	#B79F00	48	857.226671485293	636.380579489119
WZM0072055	1D12	d_33	#B79F00	52	733.237012909718	826.049550757054
WZM0072056	1D12	d_33	#B79F00	49	804.769296951454	553.258764309081
WZM0072057	1D12	d_33	#B79F00	47	862.430761703525	548.141312482742
WZM0072058	1D12	d_33	#B79F00	49	818.565974660459	569.056793008782
WZM0072059	1D12	d_33	#B79F00	48	823.977718600432	624.672715450347
WZM0072060	1D12	d_33	#B79F00	45	861.45197967581	517.701378070087
WZM0072061	1D12	d_33	#B79F00	46	784.239219188047	544.277719385848
WZM0072062	1D12	d_33	#B79F00	46	745.835080661489	517.028757844991
WZM0072064	1D12	d_33	#B79F00	45	851.084770086557	574.441944486584
WZM0072065	1D12	d_33	#B79F00	46	740.468620823375	530.248381506444
WZM0072066	1D12	d_33	#B79F00	47	855.738169436078	524.577012875396
WZM0072067	1D12	d_33	#B79F00	46	821.451953902531	550.660289889566
WZM0072068	1D12	d_33	#B79F00	46	789.379228517108	592.773933600919
WZM0072069	1D12	d_33	#B79F00	43	379.572043648025	810.748379465557
WZM0072070	1D12	d_33	#B79F00	48	895.334873149336	638.786174879374
WZM0072071	1D12	d_33	#B79F00	45	828.058552705658	568.47366696288
WZM0072072	1D12	d_33	#B79F00	49	802.390734054987	605.646590107161
WZM0072073	1D12	d_33	#B79F00	46	826.571914955267	516.746720075692
WZM0072074	1D12	d_33	#B79F00	45	856.401528853372	578.423385676863
WZM0072075	1D12	d_33	#B79F00	36	556.587539027274	657.833135665126
WZM0072076	1D12	d_33	#B79F00	46	745.36031171448	559.616326212322
WZM0072077	1D12	d_33	#B79F00	29	623.406243580906	523.337343257898
WZM0072078	1D12	d_33	#B79F00	46	762.41631113179	508.903142605081
WZM0072079	1D12	d_33	#B79F00	49	757.307652807367	609.840801390921
WZM0072081	1D12	d_33	#B79F00	47	869.67484587284	582.923960320715
WZM0072082	1D12	d_33	#B79F00	29	618.31355505876	519.992418831311
WZM0072083	1D12	d_33	#B79F00	55	827.680182817244	728.415112130219
WZM0072084	1D12	d_33	#B79F00	45	873.391744453467	600.174423268486
